source,source_version,onet_soc_code,occupation_title,element_id,element_name,importance,level,date,domain_source
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.1.a,Social Perceptiveness,3.88,3.88,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.1.b,Coordination,3.75,3.88,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.1.c,Persuasion,3.88,4.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.1.d,Negotiation,3.12,3.25,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.1.e,Instructing,3.25,3.38,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.1.f,Service Orientation,3.25,3.25,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.2.i,Complex Problem Solving,4.00,4.12,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.a,Operations Analysis,2.88,3.12,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.b,Technology Design,1.88,1.12,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.c,Equipment Selection,1.12,0.25,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.d,Installation,1.00,0.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.e,Programming,1.88,1.12,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.g,Operations Monitoring,2.00,1.88,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.h,Operation and Control,2.00,1.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.k,Troubleshooting,1.00,0.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.l,Repairing,1.00,0.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.3.m,Quality Control Analysis,1.88,1.50,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.4.e,Judgment and Decision Making,3.88,4.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.4.g,Systems Analysis,3.88,4.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.4.h,Systems Evaluation,3.88,4.00,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.5.a,Time Management,3.38,3.88,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.5.b,Management of Financial Resources,2.88,3.12,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.5.c,Management of Material Resources,2.25,2.62,08/2021,Analyst
O*NET,31.0,11-1011.03,Chief Sustainability Officers,2.B.5.d,Management of Personnel Resources,3.12,4.00,08/2021,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.1.a,Social Perceptiveness,3.75,4.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.1.b,Coordination,3.88,4.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.1.c,Persuasion,3.62,3.75,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.1.d,Negotiation,3.50,3.62,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.1.e,Instructing,3.00,3.25,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.1.f,Service Orientation,3.25,3.12,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.2.i,Complex Problem Solving,3.62,3.88,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.a,Operations Analysis,2.50,2.38,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.b,Technology Design,1.50,0.62,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.c,Equipment Selection,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.d,Installation,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.e,Programming,1.50,0.62,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.g,Operations Monitoring,2.25,2.12,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.h,Operation and Control,1.88,1.75,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.k,Troubleshooting,1.75,1.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.l,Repairing,1.00,0.00,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.3.m,Quality Control Analysis,2.38,2.12,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.4.e,Judgment and Decision Making,3.62,3.88,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.4.g,Systems Analysis,3.12,3.12,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.4.h,Systems Evaluation,3.12,3.25,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.5.a,Time Management,3.62,3.88,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.5.b,Management of Financial Resources,3.00,3.38,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.5.c,Management of Material Resources,3.12,3.25,08/2023,Analyst
O*NET,31.0,11-1021.00,General and Operations Managers,2.B.5.d,Management of Personnel Resources,3.75,4.00,08/2023,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.1.a,Social Perceptiveness,3.88,4.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.1.b,Coordination,3.75,4.25,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.1.c,Persuasion,3.38,4.12,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.1.d,Negotiation,3.38,4.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.1.e,Instructing,3.00,3.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.1.f,Service Orientation,3.00,3.25,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.2.i,Complex Problem Solving,3.75,3.88,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.a,Operations Analysis,2.88,2.88,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.b,Technology Design,1.62,0.75,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.c,Equipment Selection,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.d,Installation,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.e,Programming,1.62,0.75,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.g,Operations Monitoring,1.75,0.75,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.h,Operation and Control,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.k,Troubleshooting,1.25,0.25,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.l,Repairing,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.3.m,Quality Control Analysis,1.88,1.25,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.4.e,Judgment and Decision Making,3.88,4.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.4.g,Systems Analysis,3.38,3.38,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.4.h,Systems Evaluation,3.38,3.75,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.5.a,Time Management,3.62,3.62,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.5.b,Management of Financial Resources,2.75,3.62,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.5.c,Management of Material Resources,2.75,3.00,08/2026,Analyst
O*NET,31.0,11-2011.00,Advertising and Promotions Managers,2.B.5.d,Management of Personnel Resources,3.25,3.88,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.1.a,Social Perceptiveness,3.75,4.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.1.b,Coordination,3.75,4.12,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.1.c,Persuasion,3.88,4.25,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.1.d,Negotiation,3.75,3.88,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.1.e,Instructing,3.00,3.50,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.1.f,Service Orientation,3.00,3.12,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.2.i,Complex Problem Solving,3.88,4.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.a,Operations Analysis,3.12,3.62,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.b,Technology Design,1.88,1.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.c,Equipment Selection,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.d,Installation,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.e,Programming,1.75,0.88,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.g,Operations Monitoring,1.88,0.88,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.h,Operation and Control,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.k,Troubleshooting,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.l,Repairing,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.3.m,Quality Control Analysis,1.88,1.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.4.e,Judgment and Decision Making,3.88,4.00,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.4.g,Systems Analysis,3.25,3.75,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.4.h,Systems Evaluation,3.88,3.75,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.5.a,Time Management,3.75,3.75,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.5.b,Management of Financial Resources,2.88,3.50,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.5.c,Management of Material Resources,2.88,2.88,08/2026,Analyst
O*NET,31.0,11-2021.00,Marketing Managers,2.B.5.d,Management of Personnel Resources,3.25,4.00,08/2026,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.1.a,Social Perceptiveness,3.88,4.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.1.b,Coordination,3.75,4.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.1.c,Persuasion,3.88,4.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.1.d,Negotiation,4.00,4.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.1.e,Instructing,3.75,3.88,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.1.f,Service Orientation,3.62,3.88,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.2.i,Complex Problem Solving,3.75,3.88,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.a,Operations Analysis,2.62,2.62,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.b,Technology Design,1.50,0.50,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.c,Equipment Selection,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.d,Installation,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.e,Programming,1.62,0.75,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.g,Operations Monitoring,1.75,1.50,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.h,Operation and Control,1.75,0.75,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.k,Troubleshooting,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.l,Repairing,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.3.m,Quality Control Analysis,1.75,1.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.4.e,Judgment and Decision Making,3.88,4.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.4.g,Systems Analysis,3.62,3.88,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.4.h,Systems Evaluation,3.62,3.88,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.5.a,Time Management,3.75,4.00,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.5.b,Management of Financial Resources,3.00,3.62,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.5.c,Management of Material Resources,2.75,3.12,08/2025,Analyst
O*NET,31.0,11-2022.00,Sales Managers,2.B.5.d,Management of Personnel Resources,3.88,4.00,08/2025,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.1.a,Social Perceptiveness,4.00,3.88,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.1.b,Coordination,3.75,3.75,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.1.c,Persuasion,3.88,4.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.1.d,Negotiation,3.50,3.25,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.1.e,Instructing,3.12,3.12,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.1.f,Service Orientation,3.62,3.50,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.2.i,Complex Problem Solving,3.88,3.88,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.a,Operations Analysis,2.00,1.62,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.b,Technology Design,1.75,1.25,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.c,Equipment Selection,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.d,Installation,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.e,Programming,1.75,1.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.g,Operations Monitoring,1.75,1.25,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.h,Operation and Control,1.75,1.12,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.k,Troubleshooting,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.l,Repairing,1.00,0.00,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.3.m,Quality Control Analysis,1.38,0.50,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.4.e,Judgment and Decision Making,3.62,3.88,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.4.g,Systems Analysis,3.12,3.38,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.4.h,Systems Evaluation,3.25,3.62,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.5.a,Time Management,3.62,3.62,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.5.b,Management of Financial Resources,2.75,2.88,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.5.c,Management of Material Resources,2.50,2.62,08/2026,Analyst
O*NET,31.0,11-2032.00,Public Relations Managers,2.B.5.d,Management of Personnel Resources,3.00,3.12,08/2026,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.1.a,Social Perceptiveness,4.00,4.12,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.1.b,Coordination,3.75,3.75,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.1.c,Persuasion,4.00,3.50,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.1.d,Negotiation,3.38,3.62,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.1.e,Instructing,2.62,2.38,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.1.f,Service Orientation,3.38,3.50,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.2.i,Complex Problem Solving,3.62,3.75,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.a,Operations Analysis,2.00,1.88,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.b,Technology Design,1.75,0.88,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.c,Equipment Selection,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.d,Installation,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.e,Programming,1.88,1.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.g,Operations Monitoring,1.75,1.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.h,Operation and Control,1.12,0.25,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.k,Troubleshooting,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.l,Repairing,1.00,0.00,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.3.m,Quality Control Analysis,1.25,0.38,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.4.e,Judgment and Decision Making,3.75,3.88,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.4.g,Systems Analysis,3.12,2.75,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.4.h,Systems Evaluation,3.00,3.25,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.5.a,Time Management,3.50,3.38,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.5.b,Management of Financial Resources,3.25,3.62,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.5.c,Management of Material Resources,2.62,2.38,08/2025,Analyst
O*NET,31.0,11-2033.00,Fundraising Managers,2.B.5.d,Management of Personnel Resources,3.12,3.00,08/2025,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.1.a,Social Perceptiveness,3.25,3.75,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.1.b,Coordination,3.75,3.62,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.1.c,Persuasion,3.00,3.12,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.1.d,Negotiation,3.62,3.25,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.1.e,Instructing,3.00,3.25,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.1.f,Service Orientation,3.25,3.25,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.2.i,Complex Problem Solving,3.25,3.12,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.a,Operations Analysis,2.75,2.50,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.b,Technology Design,1.50,0.75,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.c,Equipment Selection,1.12,0.25,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.d,Installation,1.00,0.00,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.e,Programming,1.38,0.62,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.g,Operations Monitoring,2.25,2.25,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.h,Operation and Control,1.62,1.00,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.j,Equipment Maintenance,1.00,0.00,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.k,Troubleshooting,1.88,1.25,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.l,Repairing,1.00,0.00,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.3.m,Quality Control Analysis,2.25,2.12,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.4.e,Judgment and Decision Making,3.25,3.12,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.4.g,Systems Analysis,3.12,3.12,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.4.h,Systems Evaluation,2.75,3.12,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.5.a,Time Management,4.00,4.00,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.5.b,Management of Financial Resources,2.88,2.88,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.5.c,Management of Material Resources,2.88,2.88,07/2017,Analyst
O*NET,31.0,11-3012.00,Administrative Services Managers,2.B.5.d,Management of Personnel Resources,3.38,3.75,07/2017,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.1.a,Social Perceptiveness,3.62,3.62,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.1.b,Coordination,3.62,3.75,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.1.c,Persuasion,3.12,3.38,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.1.d,Negotiation,3.00,3.50,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.1.e,Instructing,3.25,3.25,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.1.f,Service Orientation,3.00,2.88,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.2.i,Complex Problem Solving,3.38,3.38,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.3.a,Operations Analysis,1.88,1.38,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.3.b,Technology Design,1.62,0.88,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.3.c,Equipment Selection,2.25,1.88,08/2024,Analyst
O*NET,31.0,11-3013.00,Facilities Managers,2.B.3.d,Installation,1.12,0.12,08/2024,Analyst
